SerialNumber,Shana,Machoz,Ms_Nefashot,Minn,Gil,MatzavMishp,Pop_Group,DatSafa_C,HesderDiyur,ShnotLimudKlali_C,MatzavTaasuka_C,HachnasaKolelet,HachnasaAvoda,SemelMishlach_wp,OverVashav,OverVaMaakav,OverVaI1,OverVaI2,OverVaI3,OverVaI4,OverVaI5,OverVaI6,OverVaI7,OverVaAcher,OverVaEruim1,OverVaEruim2,OverVaEruim3,HeshbonMaakav,KartisAshKama,KartisAshP1,KartisAshP2,KartisAshP3,KartisAshP4,KartisAshS1,KartisAshS2,KartisAshS3,KartisAshS4,KartisAshS5,KartisAshS6,KartisAshS7,KartisAshNechsam,Mashkanta1,MashkantaMekorot,Halvaa,Halvaa2,Halvaa3,Halvaa4,Halvaa5,Halvaa6,Halvaa7,Halvaa8,Halvaa9,Halvaa10,Hovot,Hovot2,Hovot3,Hovot4,Hovot5,Hovot6,Hovot7,Hovot8,Hovot9,HovotLechatzim,Hashkaot1,Hashkaot2,Hashkaot3,Hashkaot4,Hashkaot5,Hashkaot6,Hashkaot7,Hashkaot8,Hashkaot9,Hashkaot10,HashkaotMaclit,Bituhim1,Bituhim2,Bituhim3,Bituhim4,Bituhim5,Bituhim6,SherutY1,SherutY2,SherutY3,SherutY4,SherutY5,SherutY6,NosCas1,NosCas2,NosCas3,NosCas4,HishuvRibit,HishuvRibitDribit,ShiurRibitBank,HipusM1,HipusM2,HipusM3,HipusM4,HipusM5,HipusM6,HipusM7,HipusM8,HipusM9,NoseCaspiM1,NoseCaspiM2,NoseCaspiM3,NoseCaspiM4,NoseCaspiM5,NoseCaspiM6,NoseCaspiM7,NoseCaspiM8,NoseCaspiM9,NoseCaspiM10,NoseCaspiHarhavaNihul,NoseCaspiHarhavaCarhanut,NoseCaspiHarhavaHalvaot,NoseCaspiHarhavaHishonot,NoseCaspiHarhavaBituhim,NoseCaspiHarhavaMashkanta,NoseCaspiHarhavaEynCoreh,MekorotM1,MekorotM2,MekorotM3,MekorotM4,MekorotM5,MekorotM6,MekorotM7,MekorotM8,MekorotM9,MekorotM10,MakorMuadaf,MakorMahooM,RamatYedaMash,nn
283,2012,7,6,2,2,1,1,3,1,5,1,4,4,3,1,3,1,1,1,1,1,,,1,1,1,1,2,3,2,1,2,2,1,2,1,2,2,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,2,2,2,1,2,2,2,2,,,2,2,1,2,2,1,2,2,2,2,2,2,2,,3,3,1,,3,1,1,1,1,1,1,1,1,,,1,3,2,4,1,2,5,5,3,5,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,,,,,3,3930.112586
284,2012,1,3,1,1,5,1,3,1,4,3,98,,10,1,4,1,1,1,1,2,,,2,1,1,1,4,3,2,2,2,2,3,3,1,3,3,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,1,2,2,2,2,,,8,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1020,1,2,3,1,3,1,1,1,1,,,1,4,2,4,2,2,4,2,4,2,1,1,1,1,1,1,0,1,2,1,2,1,1,1,1,,,1,3,4,6308.566181
285,2012,1,4,1,2,1,1,3,1,4,1,9,4,10,1,2,2,1,2,1,1,,,1,1,1,1,3,3,2,1,1,2,1,1,1,1,1,,,2,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,2,2,1,1,1,2,2,,,2,1,2,2,1,2,1,2,2,2,2,2,2,3,3,3,3,,5,3,1,1,1,1,1,1,1,,,1,3,1,4,1,2,3,4,4,5,1,0,0,0,1,1,0,2,2,2,2,2,2,2,2,,,,,4,3594.1
286,2012,1,4,1,1,5,1,3,1,4,3,9,,10,1,4,2,2,2,1,2,,,3,1,1,1,3,2,2,2,2,2,1,3,1,3,3,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,3,2,2,3,2,3,,,8,3,2,2,3,2,3,2,2,2,2,2,2,3,3,3,1,,5,4,1,2,1,1,1,1,1,,,2,2,2,4,3,3,3,4,5,,0,0,1,1,1,0,0,1,1,1,2,1,2,2,2,,,1,3,4,2936.709488
287,2012,1,4,2,3,1,1,3,2,6,1,9,8,1,1,3,1,1,,,,,,1,5,1,1,2,2,2,1,1,1,1,2,1,1,2,,,2,2,,2,1,1,2,2,2,2,2,,,2,4,1,1,1,1,1,2,,2,1,1,2,1,1,2,2,2,,,2,1,2,2,1,2,1,2,2,2,2,2,2,3,3,3,3,1020,5,4,1,2,3,1,1,1,1,,,3,1,2,2,2,2,5,,4,5,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,,,1,8,4,3431.26331
288,2012,1,7,2,5,1,1,3,1,6,1,9,7,2,1,2,1,,1,1,,,,1,3,2,,2,3,2,2,2,2,1,,,,,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,,1,1,,,,,,5,,,,1,,,2,2,2,2,2,2,3,1,1,,,,3,1,1,1,1,1,1,1,,,2,3,2,,3,3,4,5,5,5,0,1,0,0,0,0,0,2,2,2,2,2,2,2,,,,,,4,3169.731809
289,2012,1,7,1,4,1,1,3,1,6,3,5,,10,1,5,,,1,,,,,2,1,1,1,1,3,2,2,2,2,2,2,2,2,1,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,"קצת חסכתי לעצמי אבל לא בכל הנ""ל אלא לעצמי.",1,2,2,2,2,1,,2,2,2,2,2,2,3,1,1,1,1020,1,1,1,1,1,1,1,1,1,,,1,4,1,4,1,1,4,4,,,1,1,0,1,0,0,0,1,2,1,2,3,3,2,3,,,1,3,4,7137.855797
290,2012,1,4,2,4,1,1,3,2,5,1,9,6,2,1,2,1,1,1,1,1,,,2,1,1,1,5,4,2,2,2,1,2,1,1,1,1,,,2,2,,2,1,1,,,,,,,,1,,,,,,,,,,1,1,2,1,2,2,2,2,2,,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1200,1,4,1,1,2,1,1,1,1,,,1,4,1,3,2,2,3,4,4,2,1,0,0,0,0,0,0,2,2,1,2,1,1,1,2,,,1,7,4,3169.731809
291,2012,1,6,1,7,1,1,3,1,4,1,7,8,3,1,2,1,1,1,1,,,,1,3,1,1,1,4,1,1,1,2,1,1,1,1,1,,,2,1,1,2,1,2,2,2,1,2,2,,,1,,,,,,,,,,1,1,1,1,2,2,2,2,,,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,3,3,,5,3,1,1,1,1,1,1,1,,,2,2,1,2,1,3,4,4,4,4,1,1,0,1,1,0,0,1,1,2,1,2,2,2,,,,1,,4,4108.679892
292,2012,1,4,2,1,5,1,3,2,5,1,6,4,4,1,2,1,1,1,1,1,1,אפליקציה באייפון,2,2,2,1,3,2,,1,,,1,2,2,2,1,,,2,2,,2,,,,,,,,1,כלל מימון,2,,,,,,,1,ביטוח לאומי,1,1,3,1,3,3,,,,,,,4,4,2,,2,2,2,2,2,2,2,2,3,1,3,1,1020,5,3,1,1,1,1,1,1,1,,,2,3,2,3,3,3,5,4,4,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,4,3122.988778
293,2012,1,3,2,8,5,1,3,1,6,3,6,,10,1,3,,1,,,,,,2,4,1,1,3,1,,,,,,,,,,,,,1,4,2,1,,,,,,,,,1,,,,,,,,,,2,3,3,2,1,,3,2,,,1,,1,,1,1,3,2,2,1,2,2,2,3,1,1,3,200,3,1,1,1,1,1,1,1,1,,,1,3,1,3,1,3,4,4,3,5,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,,,,,4,5670.349311
294,2012,1,5,2,3,1,1,3,1,6,1,4,3,1,1,3,1,2,1,1,,,,2,2,1,1,1,2,,1,,,1,2,2,2,1,,,2,1,1,2,1,,,,,,1,,,2,,,,3,,,1,משכנתא,2,,,,1,1,,,,,,1,,,,,1,1,2,2,2,2,2,2,2,3,3,3,,5,4,1,1,1,1,1,1,1,1,,3,3,2,3,2,2,3,4,3,3,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,,,,,4,4546.757542
295,2012,1,3,1,1,5,1,3,1,4,1,8,4,3,1,3,1,1,1,1,1,,,2,1,1,1,3,2,2,1,2,2,1,2,2,2,1,,,2,1,1,2,1,2,2,1,2,2,2,,,1,,,,,,,,,,2,1,1,1,2,2,2,2,,,3,2,1,3,1,1,3,2,2,2,2,2,2,3,1,3,3,1020,1,1,4,1,1,1,1,1,1,2,,1,4,1,4,1,2,3,3,3,2,1,1,1,1,1,1,0,1,2,2,2,2,2,2,2,,,1,1,4,3144.888463
296,2012,1,4,1,5,1,1,3,1,6,1,99,98,1,1,3,1,1,2,1,2,,,1,5,1,1,2,2,2,1,1,2,2,2,1,1,2,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,2,2,,,2,1,2,2,2,1,2,2,2,2,2,2,2,3,3,1,1,,4,2,3,3,2,1,1,1,1,,,1,3,1,2,2,3,2,4,4,5,1,1,1,1,1,1,0,1,1,3,2,2,1,3,1,,,1,8,4,5216.430667
297,2012,1,3,1,2,5,1,3,1,5,1,6,5,3,1,2,1,1,2,1,1,,,2,5,4,3,3,1,,,,,,,,,,,,,2,,2,1,2,2,2,1,2,2,,,2,3,5,5,3,,5,,,1,2,2,1,1,2,2,2,2,,,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,,3,1,2,3,3,1,1,1,1,,,2,1,4,3,1,3,4,4,3,4,1,1,0,1,0,0,0,2,1,1,2,1,2,1,2,,,1,5,4,4327.943895
298,2012,1,7,1,5,1,1,3,1,4,1,5,6,6,1,4,2,2,2,1,2,2,,1,5,1,1,2,3,2,1,1,2,1,3,1,2,1,3,,2,1,1,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,2,1,2,1,2,2,2,2,2,,2,2,1,2,1,1,3,2,2,2,2,2,2,3,3,3,3,1020,5,4,3,1,1,1,1,1,1,2,,3,2,2,3,4,3,4,4,3,5,1,1,0,0,0,0,0,1,2,2,2,2,2,3,2,2,,1,1,4,4166.09215
299,2012,1,7,1,1,5,1,3,1,6,3,98,,10,2,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,,5,1,1,1,1,1,1,1,1,2,,2,5,5,4,3,3,5,5,3,5,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,4,6048.056842
300,2012,1,2,2,7,1,1,3,1,6,1,10,9,0,1,1,,,,,,,,1,1,1,1,2,3,2,1,1,2,1,1,,1,,,,2,1,1,2,,1,,,,,,,,1,,,,,,,,,,1,1,1,1,,1,,,,,2,1,1,,1,1,1,2,2,1,1,2,2,3,2,3,3,1020,4,4,1,1,2,1,1,1,1,,,4,4,1,1,3,4,4,4,1,4,0,1,0,0,0,0,0,1,2,1,2,1,2,2,2,,,1,1,4,3657.764611
301,2012,1,6,2,6,1,2,1,1,5,3,2,,10,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,1,2,2,1,2,1,2,2,2,2,2,2,3,1,3,2,,5,4,2,3,1,2,1,1,1,1,,1,2,1,3,1,4,2,3,5,1,0,0,0,0,0,0,1,1,2,2,1,2,3,3,1,2,,2,,4,6583.791387
302,2012,2,4,2,2,5,1,3,1,5,1,98,4,3,1,2,,1,,,,,,2,5,1,1,3,2,2,1,2,2,1,2,2,2,2,,,2,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,3,1,3,2,2,2,2,,1,2,2,2,1,2,2,2,2,2,2,2,2,3,1,3,1,,5,3,1,1,2,1,1,1,1,,,1,3,1,4,4,3,4,4,3,4,1,1,1,1,1,1,0,3,3,1,2,1,1,1,3,,,2,,4,3961.235959
303,2012,2,4,2,6,1,1,3,1,6,1,7,6,2,1,4,1,2,1,1,1,,,2,5,4,2,1,2,2,2,1,2,1,2,1,2,3,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,2,1,1,1,2,2,2,2,,,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,3,3,1020,1,1,1,2,1,1,1,1,1,,,3,3,2,3,4,4,5,5,4,5,1,0,0,0,0,0,0,1,2,2,2,1,2,2,2,1,,1,5,4,5019.550646
304,2012,2,4,2,2,5,1,3,1,5,1,98,1,3,1,2,1,2,2,1,1,,,2,5,5,1,3,2,1,1,2,2,1,2,1,1,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,3,3,3,2,2,2,1,2,,3,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,,5,4,1,1,2,1,1,1,1,1,,2,1,3,2,2,3,4,4,4,5,0,0,0,1,1,0,0,1,2,2,2,2,1,2,2,,,1,1,4,3961.235959
305,2012,2,3,2,9,1,1,3,1,4,1,7,3,9,1,1,,,,,,,,1,1,1,1,2,3,2,1,2,2,2,2,2,2,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,1,2,2,2,3,1,,,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1120,1,3,1,1,1,2,1,1,1,1,,2,4,1,5,1,1,3,3,5,3,0,0,0,1,0,0,0,2,1,1,1,3,3,1,3,,,,,4,3481.265586
306,2012,2,7,1,4,1,1,3,1,4,1,3,4,6,1,5,2,2,2,2,2,,,2,5,5,5,2,1,,,,,,,,,,,,,1,4,2,1,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,1,,,,1,,2,2,2,2,2,2,3,3,3,3,200,3,4,1,1,1,1,1,1,1,,,3,1,3,3,1,1,4,4,4,5,1,1,1,0,0,0,0,3,2,1,2,1,2,1,3,,,2,,4,5355.292131
307,2012,2,4,1,9,1,1,3,1,4,1,98,99,1,1,2,1,1,1,1,,1,,2,1,1,1,1,3,,1,,,1,,,,,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,1,,1,,,1,1,,,1,,1,2,2,2,2,2,2,2,1,1,1,1020,1,4,2,2,2,1,1,1,1,,,1,4,1,4,1,2,3,3,3,2,0,0,0,0,0,0,1,3,3,3,2,2,2,2,2,,,,,4,2617.511987
308,2012,2,7,1,6,1,1,3,1,5,1,2,1,4,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,2,1,5,5,1,5,4,,,1,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,1020,1,4,2,2,2,1,2,1,1,,,1,1,4,4,2,2,4,2,3,2,0,1,1,0,1,0,0,1,1,1,2,1,2,2,2,,,2,,4,4753.342526
309,2012,2,6,2,4,1,1,3,2,6,1,8,6,1,1,1,,,,,,,,1,3,1,1,1,2,2,1,2,2,2,1,2,2,2,,,2,1,2,1,,,,,,,,,,1,,,,,,,,,,2,2,2,1,2,1,2,2,,,2,1,1,1,1,1,1,2,1,1,2,2,2,3,1,3,3,,5,4,1,1,1,1,1,1,1,1,,3,3,1,4,3,2,5,4,3,5,1,0,0,0,0,0,0,2,2,1,2,2,2,2,1,1,,1,3,4,3780.258659
310,2012,2,7,1,1,5,2,1,1,5,1,98,5,1,2,,,,,,,,,,,,,3,2,2,1,1,2,1,1,1,2,2,,,2,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,,1,2,2,2,2,,,3,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,50,1,3,1,1,1,1,1,1,1,,,1,,1,4,1,1,1,4,4,3,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,,,,4,2750.797275
311,2012,2,4,2,7,1,1,3,1,4,1,7,5,6,1,3,,1,,,1,,,2,1,1,1,2,5,,1,,,1,,,,,,,2,1,1,2,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,2,1,1,,1,,,2,2,2,2,2,2,3,3,3,3,1020,3,3,1,1,1,1,1,1,1,2,,2,3,2,4,2,2,3,4,3,2,0,0,0,0,0,0,1,,,,,,,,,,,,,4,4034.751298
312,2012,2,3,2,3,3,1,3,1,4,1,8,3,4,1,2,1,1,2,1,2,,,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,,,2,2,,2,2,1,2,2,2,2,2,,,1,,,,,,,,,,1,3,3,3,3,3,3,3,,,1,1,3,3,1,3,1,2,2,2,2,2,2,3,3,3,3,,5,4,2,1,1,1,1,1,1,,,2,3,2,4,2,3,4,4,4,4,0,1,0,1,1,0,0,2,2,2,2,3,2,2,2,,,,,4,3717.292242
313,2012,2,5,1,1,5,1,3,1,4,1,10,8,10,1,3,1,1,1,1,1,,,1,1,1,1,3,3,2,2,2,2,1,1,1,1,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,2,1,2,2,,,3,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1020,3,2,3,3,3,2,2,2,1,,,1,5,1,4,1,1,2,2,4,1,0,0,0,1,0,0,0,1,1,1,2,1,1,2,1,,,1,3,4,2936.709488
314,2012,3,1,1,2,5,1,3,2,5,3,1,,10,1,2,1,1,1,2,2,,,3,1,2,1,1,3,2,2,2,2,1,2,1,2,1,,,1,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,1,2,1,2,1,,,1,1,3,3,1,4,1,2,2,2,2,2,1,3,2,1,1,1020,1,2,3,2,1,1,1,1,1,,,1,2,2,4,2,1,1,3,4,1,0,1,0,0,0,1,0,1,1,2,3,1,2,1,2,,,1,1,4,6455.650322
315,2012,2,5,1,3,5,2,1,4,5,1,8,1,6,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,5,5,,,,,,,1,2,2,2,2,2,2,2,2,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,,5,4,3,5,2,1,1,1,1,,,2,2,3,,3,3,2,2,3,3,0,0,1,0,0,0,0,3,1,1,3,3,3,3,3,,,,,4,2929.055755
316,2012,2,5,2,2,1,2,1,4,4,3,4,,10,1,1,,,,,,,,1,,,,2,1,,,,,,,,,,,,,2,,2,1,,,,,,,,,2,,5,,,,,,,1,2,2,2,2,2,2,2,2,,,,2,2,2,1,,,2,2,2,2,2,2,3,1,1,1,,4,1,4,5,1,1,1,1,1,,,1,1,2,3,2,2,2,4,4,2,1,1,0,0,0,0,0,2,1,2,2,2,2,2,2,,,1,2,4,5681.653848
317,2012,2,7,1,4,1,2,1,1,3,1,9,9,4,1,2,1,1,1,2,1,,,2,5,5,1,1,3,2,2,2,2,2,2,2,2,2,,,2,2,,2,1,2,2,2,2,2,1,,,1,,,,,,,,,,1,1,1,1,1,1,2,2,,,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,1020,1,4,1,1,2,1,1,1,1,,,1,2,1,4,2,4,2,3,2,2,0,1,0,0,0,0,0,1,2,1,1,2,2,2,2,,,1,3,4,4232.369242
318,2012,2,5,2,4,1,2,1,4,6,1,7,8,0,1,3,1,1,,,,,,2,1,1,1,1,4,1,3,1,2,1,1,2,2,2,,,2,2,,2,1,2,2,2,2,2,2,,,2,1,1,5,1,1,,,,2,1,2,2,1,2,2,2,2,,,1,1,1,2,1,2,1,2,2,2,2,2,2,3,1,1,1,1020,2,3,2,1,2,1,1,1,1,,,2,4,2,4,3,3,4,4,4,,0,0,0,1,0,0,0,1,1,1,2,1,2,2,2,,,1,5,4,2058.273129
319,2012,2,7,2,6,1,2,1,1,4,1,6,4,4,1,4,2,2,2,2,1,,,1,5,1,1,2,2,2,1,1,2,1,3,3,1,3,,,2,1,1,2,1,2,2,2,1,2,1,,,2,4,2,2,1,1,,,,2,2,2,2,1,2,2,2,2,,,2,2,2,2,2,3,2,2,2,2,2,2,2,3,1,3,3,,5,1,1,1,1,1,1,1,1,,,3,2,2,4,2,3,5,5,4,5,0,0,0,0,0,1,0,2,2,2,3,3,3,3,3,,,,,4,2838.32024
320,2012,2,5,1,1,5,2,1,1,4,1,98,1,1,1,1,,,,,,,,2,1,1,1,3,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,,1,1,1,1,1,1,1,1,1,1,,2,3,4,4,2,4,3,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,1,7,4,2830.263977
321,2012,2,5,2,1,5,2,1,1,5,3,4,,10,1,3,2,1,1,2,1,1,,2,3,1,1,3,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,4,1,1,1,1,,,,2,2,2,2,2,2,2,2,2,2,,,4,4,4,1,4,,2,1,2,2,2,2,2,1,2,2,,3,4,2,3,3,1,2,1,1,2,,2,2,2,2,3,3,2,3,3,4,0,0,0,1,0,0,0,1,1,1,2,2,2,2,3,3,,2,,4,5751.408288
322,2012,2,4,2,6,1,2,3,1,4,3,4,,10,1,4,,,,,,,,1,1,1,1,2,1,,,,,,,,,,,,,2,,2,1,2,2,2,2,2,2,,,2,2,1,5,4,1,,,,1,2,2,2,2,3,2,2,,2,,,1,2,2,2,2,1,2,2,2,2,2,2,3,1,3,1,1020,2,1,1,1,3,1,1,1,1,,,3,1,3,3,2,2,3,3,3,3,1,0,1,0,0,0,0,1,1,1,1,1,3,3,2,,,1,2,4,7022.710813
323,2012,2,5,1,2,5,2,3,1,4,1,98,4,6,1,,,,,,,,,2,5,1,2,4,2,1,1,3,2,,2,3,1,1,,,1,2,,2,2,2,2,2,2,2,,1,1,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,5,1,1,1,1,1,1,1,1,2,,2,,2,4,2,2,3,4,4,5,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,,,,,4,3013.672096
324,2012,2,3,2,3,5,2,1,1,6,1,2,1,3,2,,,,,,,,,,,,,6,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,4,2,2,1,2,2,2,2,2,2,2,2,3,1,3,1,5000,5,1,1,3,3,1,1,1,1,,,1,1,1,4,2,4,3,4,3,3,0,0,1,1,1,0,0,,2,1,1,1,2,1,1,,,1,7,4,1088.474836
325,2012,2,3,2,2,1,2,1,2,6,3,5,,10,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,5,1,2,2,1,1,1,1,1,,,2,3,3,5,1,3,4,4,4,3,1,0,0,1,0,0,0,1,1,3,2,1,2,2,1,,,1,5,4,3467.340474
326,2012,2,4,1,5,1,2,1,1,4,1,1,11,6,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,2,2,2,2,2,1,2,1,,,2,5,1,5,5,1,,1,,1,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,,1,4,5,5,1,2,1,1,1,,,1,1,4,3,1,1,1,3,4,2,1,0,0,0,1,0,0,1,2,3,1,1,2,2,1,,,1,1,4,4124.201018
327,2012,2,5,2,6,1,2,1,1,2,3,6,,10,2,,,,,,,,,,,,,2,3,2,2,2,2,,,,,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,3,2,2,2,2,2,2,,,,,2,2,2,1,2,2,2,1,2,2,2,2,3,3,3,3,,4,1,1,1,1,1,1,1,1,,,5,1,1,,3,1,4,4,4,,1,0,0,0,0,0,0,3,2,3,3,3,3,3,3,,,,,4,7415.097533
328,2012,2,3,1,2,1,2,2,1,4,1,4,6,6,1,2,1,1,2,1,1,,,1,2,1,1,1,2,2,1,2,2,2,1,2,2,1,,,2,2,,1,,,,,,,,,,2,3,3,3,1,1,,,,2,1,1,1,2,2,1,2,2,,,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,,4,3,3,5,4,5,2,1,1,,,1,3,2,3,2,2,2,3,3,4,1,0,0,0,1,0,0,1,1,1,2,1,1,2,1,,,1,3,4,1839.152386
329,2012,2,5,2,6,1,2,1,1,4,2,5,,10,1,4,2,2,2,2,1,2,,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,,,2,1,2,1,,,,,,,,,,2,1,1,5,1,1,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,,5,1,1,1,1,1,1,1,1,2,,1,3,3,4,1,1,1,4,4,5,0,0,0,1,0,0,0,2,1,1,2,1,1,1,1,,,1,8,4,2261.715023
330,2012,2,4,2,6,1,1,3,1,6,1,10,10,0,1,4,1,2,1,1,2,2,,1,3,1,1,1,5,1,1,2,2,1,1,2,2,1,2,,2,1,1,1,,,,,,,,,,2,2,1,3,3,1,1,2,,2,1,1,1,1,3,1,2,2,2,,5,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1020,5,3,2,1,2,1,1,1,1,2,,3,5,2,3,1,2,4,2,3,2,1,0,0,1,1,0,0,1,2,1,2,1,1,3,3,3,,2,,4,4208.873196
331,2012,2,4,2,2,5,2,2,1,6,1,98,4,0,1,2,1,1,2,2,2,,,2,2,2,1,3,2,2,2,2,2,1,2,1,3,3,,,2,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,2,2,1,1,2,1,2,2,2,,1,1,1,1,1,2,1,2,1,2,2,1,2,3,1,3,3,,5,3,2,2,3,3,1,1,1,,,1,4,1,4,3,3,3,3,4,3,0,1,0,0,0,0,0,1,1,3,3,3,3,2,2,,,2,,4,1883.25339
332,2012,2,6,2,4,1,2,1,1,6,1,7,7,1,1,2,1,1,1,1,1,,,1,4,1,1,2,2,2,1,1,2,1,1,2,1,1,,,2,2,,2,1,2,2,2,2,2,1,,,1,,,,,,,,,,1,1,1,1,2,1,2,2,2,,2,1,2,2,1,2,1,2,2,2,2,2,2,3,3,3,3,,1,2,4,4,2,3,1,1,1,,,1,2,3,4,2,4,4,4,4,4,1,0,0,1,1,0,0,1,1,1,1,2,2,2,2,,,1,3,4,2058.273129
333,2012,2,5,1,5,1,2,1,1,6,1,7,5,1,1,3,,1,1,1,1,,,1,2,2,1,1,3,2,1,1,1,1,3,2,2,2,,,2,2,,2,1,1,2,2,2,2,2,,,2,1,1,1,3,1,,,,2,1,2,2,2,2,2,2,2,,,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1020,2,3,2,2,1,1,1,1,1,,,1,2,2,3,2,3,2,3,3,4,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,,,1,5,4,3664.991824
334,2012,2,5,2,5,5,2,1,1,6,1,6,3,1,1,4,1,2,2,2,2,,,2,1,1,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,,5,4,2,3,1,1,1,1,1,,,2,3,2,4,3,3,3,4,4,4,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,,,2,,4,2117.733773
335,2012,2,3,1,2,1,1,3,2,6,1,4,2,9,1,2,1,1,2,1,1,,,1,3,1,1,1,3,1,1,1,2,2,2,2,2,2,,,1,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,1,2,2,3,2,2,,,1,2,2,2,1,2,3,2,2,2,2,2,2,3,1,3,3,1020,5,4,1,1,1,1,1,1,1,,,2,4,1,3,2,1,4,4,3,4,1,0,0,1,1,0,0,2,1,1,2,1,2,1,2,,,1,7,4,4492.296194
